input_name,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,总计
促申完花费,5561000,6238000,6682000,6936000,5362000,5254000,4116000,4432000,4677000,6524000.0,6186000.0,4291000.0,2500000,1700000,0
RTA花费,812200,912492,2331169,880170,783308,1868160,757640,2488122,920640,1011719.88,938898.24,2629454.06475,660000,926000,0
